Departure Date,Price,Airline
2016-11-12,582.20,DL
2016-11-12,582.20,DL
2016-11-13,535.70,UA
2016-11-13,617.20,UA
2016-11-14,535.70,B6
2016-11-14,562.70,B6
2016-11-15,1008.20,VX
2016-11-15,557.20,VX
2016-11-16,660.20,VX
2016-11-16,878.20,VX
2016-11-17,578.70,SY
2016-11-17,578.70,SY
2016-11-18,467.70,UA
2016-11-18,647.20,UA
2016-11-19,301.70,B6
2016-11-19,343.20,DL
2016-11-20,346.70,UA
2016-11-20,390.20,DL
2016-11-21,340.20,AA
2016-11-21,360.20,UA
2016-11-22,327.20,AA
2016-11-22,360.20,UA
2016-11-23,502.20,UA
2016-11-23,606.20,DL
2016-11-24,536.20,DL
2016-11-24,628.20,DL
2016-11-25,418.20,B6
2016-11-25,528.20,DL
2016-11-26,284.70,DL
2016-11-26,397.20,DL
2016-11-27,354.20,B6
2016-11-27,354.20,B6
2016-11-28,290.20,UA
2016-11-28,330.20,UA
2016-11-29,274.70,B6
2016-11-29,281.20,AA
2016-11-30,274.70,B6
2016-11-30,303.20,AA
2016-12-01,314.70,AA
2016-12-01,451.20,AA
2016-12-02,298.70,UA
2016-12-02,451.20,AA
2016-12-03,278.70,VX
2016-12-03,278.70,VX
2016-12-04,236.20,DL
2016-12-04,264.70,DL
2016-12-05,234.70,UA
2016-12-05,236.20,B6
2016-12-06,226.20,VX
2016-12-06,226.20,VX
2016-12-07,226.20,VX
2016-12-07,234.70,UA
2016-12-08,243.20,UA
2016-12-08,379.70,UA
2016-12-09,246.20,DL
2016-12-09,379.70,UA
2016-12-10,226.20,B6
2016-12-10,226.20,UA
2016-12-11,226.20,UA
2016-12-11,226.20,UA
2016-12-12,226.20,UA
2016-12-12,226.20,VX
2016-12-13,226.20,VX
2016-12-13,226.20,VX
2016-12-14,226.20,VX
2016-12-14,226.20,VX
2016-12-15,239.70,SY
2016-12-15,239.70,SY
2016-12-16,262.20,UA
2016-12-16,272.20,UA
2016-12-17,226.20,DL
2016-12-17,236.20,DL
2016-12-18,234.70,UA
2016-12-18,236.20,DL
2016-12-19,236.20,DL
2016-12-19,256.20,DL
2016-12-20,274.70,DL
2016-12-20,274.70,DL
2016-12-21,347.20,AA
2016-12-21,379.70,DL
2016-12-22,393.20,B6
2016-12-22,393.20,B6
2016-12-23,431.20,B6
2016-12-23,466.20,B6
2016-12-24,482.20,DL
2016-12-24,482.20,DL
2016-12-25,482.20,DL
2016-12-25,511.20,DL
2016-12-26,610.20,UA
2016-12-26,623.20,UA
2016-12-27,415.20,B6
2016-12-27,476.20,B6
2016-12-28,510.20,B6
2016-12-28,614.20,DL
2016-12-29,497.20,B6
2016-12-29,639.55,B6
2016-12-30,535.20,B6
2016-12-30,639.55,B6
2016-12-31,562.20,DL
2016-12-31,614.20,DL
2017-01-01,339.16,DL
2017-01-01,463.20,NK
2017-01-02,423.20,B6
2017-01-02,429.04,B6
2017-01-03,579.87,B6
2017-01-03,702.87,B6
2017-01-04,687.20,B6
2017-01-04,701.20,B6
2017-01-05,413.20,NK
2017-01-05,497.20,DL
2017-01-06,259.70,UA
2017-01-06,397.20,DL
2017-01-07,254.70,VX
2017-01-07,256.20,VX
2017-01-08,258.70,UA
2017-01-08,261.20,UA
